NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.26811,0.98691,1.0666,1.0475,1.3241,1.1311,1.0606,1.2382,1.1221,1.1036,1.1495,1.0553
0.20421,0.028288,0.011065,0.018894,0.024549,0.015669,0.011305,0.013457,0.018141,0.013272,0.017145,0.026686
0.10408,0.027126,0.011697,0.016304,0.023412,0.016487,0.011291,0.012822,0.017423,0.013304,0.016005,0.027411
0.1063,0.027738,0.011059,0.017544,0.023133,0.016692,0.011149,0.012814,0.018469,0.013333,0.015946,0.026531
0.2102,0.026116,0.012173,0.017644,0.023681,0.016671,0.011971,0.013509,0.019005,0.01403,0.015959,0.026734
0.4689,0.03337,0.01411,0.019966,0.027411,0.019008,0.013233,0.015424,0.0209,0.016088,0.017472,0.027873
0.4961,0.029736,0.012434,0.019355,0.024855,0.017361,0.012093,0.014439,0.019759,0.015152,0.016902,0.028097
0.56244,0.02963,0.011377,0.017525,0.025306,0.016092,0.011269,0.013268,0.017765,0.013653,0.016809,0.028705
0.17271,0.027489,0.010673,0.017302,0.024518,0.01639,0.011104,0.012939,0.016797,0.013578,0.016884,0.026681
0.12226,0.027938,0.011055,0.017505,0.023654,0.016714,0.01087,0.012445,0.017862,0.013512,0.016204,0.03032
0.096176,0.026726,0.011523,0.017338,0.02319,0.017139,0.011474,0.013124,0.019025,0.013529,0.016095,0.028619
0.079985,0.028724,0.010976,0.016916,0.022889,0.016542,0.011512,0.013038,0.01779,0.013285,0.015357,0.029286
0.068132,0.029668,0.013161,0.018801,0.026048,0.017259,0.012522,0.01494,0.020092,0.014204,0.016822,0.028131
0.05568,0.029452,0.012329,0.017631,0.024732,0.016773,0.01212,0.014127,0.019093,0.013984,0.016501,0.024181
0.047221,0.027097,0.010496,0.015612,0.02532,0.016252,0.011135,0.013179,0.017771,0.01326,0.016517,0.021037
0.042374,0.026028,0.010863,0.015467,0.024316,0.016701,0.011329,0.012641,0.017515,0.013907,0.016825,0.02215
0.039473,0.027704,0.010577,0.01843,0.022996,0.01681,0.011093,0.012536,0.018896,0.013996,0.016285,0.020719
0.036472,0.028417,0.010701,0.016172,0.02286,0.016357,0.010925,0.013195,0.017438,0.013639,0.0157,0.021508
0.036351,0.028053,0.011397,0.016998,0.022571,0.015983,0.011279,0.013192,0.019511,0.013517,0.015888,0.020857
0.037844,0.029795,0.013995,0.019291,0.026737,0.017679,0.012767,0.01543,0.020182,0.015341,0.017238,0.021609
0.039334,0.028096,0.012823,0.017935,0.026265,0.017551,0.012354,0.013777,0.018836,0.014538,0.01613,0.019802
0.036313,0.026586,0.011324,0.016173,0.0256,0.016807,0.011345,0.013745,0.016694,0.013524,0.015786,0.018017
0.034757,0.028961,0.011073,0.015619,0.024921,0.017275,0.011369,0.01316,0.018904,0.013524,0.016705,0.018727
0.032452,0.026387,0.010721,0.018284,0.022844,0.016506,0.011266,0.012662,0.019617,0.01288,0.016832,0.01764
0.030992,0.02935,0.010944,0.01651,0.022957,0.016031,0.011208,0.013555,0.018232,0.013728,0.016616,0.017375
0.031192,0.028274,0.010447,0.017058,0.023106,0.016221,0.01113,0.013092,0.019314,0.013614,0.015889,0.017365
0.032924,0.028319,0.013141,0.018813,0.02621,0.017084,0.012335,0.014977,0.019323,0.014973,0.017187,0.018543
0.032927,0.028077,0.012834,0.018748,0.024823,0.01792,0.012711,0.014479,0.019276,0.015212,0.016142,0.017773
0.034261,0.027247,0.010965,0.016362,0.024711,0.016746,0.011777,0.013771,0.017578,0.013501,0.015515,0.016277
0.032152,0.025638,0.011837,0.015748,0.025245,0.017272,0.01123,0.012725,0.018443,0.013759,0.016462,0.015758
0.03171,0.029163,0.011335,0.13472,0.02301,0.016933,0.010767,0.012795,0.018037,0.01342,0.016713,0.016567
0.030498,0.028335,0.010699,0.2567,0.022116,0.016315,0.011363,0.013613,0.019697,0.013404,0.017033,0.015531
0.028833,0.027657,0.015647,0.45292,0.023535,0.015431,0.011342,0.018332,0.019184,0.013348,0.094782,0.016248
0.040725,0.029156,0.022277,0.42139,0.026882,0.018284,0.01312,0.020061,0.019204,0.014988,0.15555,0.018413
0.037178,0.029345,0.017235,0.31425,0.024925,0.017568,0.012248,0.015273,0.017308,0.015349,0.20935,0.018519
0.030831,0.027208,0.011695,0.17918,0.024909,0.017094,0.011548,0.013496,0.0174,0.013697,0.17878,0.016432
0.032793,0.031622,0.011985,0.11923,0.02586,0.017383,0.011944,0.013448,0.019154,0.014401,0.17869,0.015698
0.031861,0.030486,0.011743,0.08794,0.024926,0.016168,0.011081,0.012828,0.017793,0.013982,0.20619,0.015146
0.037693,0.030154,0.011449,0.066807,0.024049,0.016279,0.011094,0.013579,0.01868,0.013893,0.34286,0.016948
0.031506,0.028409,0.010503,0.052052,0.023921,0.016108,0.011309,0.013265,0.018192,0.013749,0.35212,0.015088
0.029943,0.026992,0.012137,0.04521,0.027041,0.017185,0.012017,0.01509,0.019134,0.014365,0.37499,0.01671
0.02942,0.027781,0.011671,0.039525,0.023971,0.018006,0.011319,0.014215,0.018377,0.014068,0.25743,0.01615
0.028834,0.027323,0.010593,0.036563,0.025066,0.016597,0.011388,0.013192,0.018213,0.013287,0.13487,0.015273
0.031131,0.02864,0.011995,0.033554,0.02485,0.016749,0.011764,0.01312,0.017109,0.013434,0.10238,0.015481
0.03074,0.028593,0.011431,0.030195,0.023704,0.016696,0.011313,0.012731,0.019649,0.013474,0.067018,0.014757
