,Median length- mm,Median YOLKSAC BREADTH Ratio,Median Yolk sac area Ratio,Median Eye area Ratio
0,3.317,0.14681941513415736,0.0560747663551402,0.008742839915586373
1,3.394,0.1328815556865056,0.05362404242781379,0.010017678255745434
2,3.115,0.13996789727126804,0.06003210272873194,0.010914927768860353
3,3.327,0.12593928464081755,0.059513074842200184,0.009317703636910129
4,2.975,0.14218487394957982,0.06285714285714286,0.010756302521008404
5,3.083,0.14239377229970807,0.0635744404800519,0.007784625364904314
6,3.2460000000000004,0.16789895255699322,0.06592729513247073,0.008934072704867528
7,3.353,0.14047121980316132,0.06233223978526692,0.010140172979421413
8,3.483,0.13838644846396783,0.06144128624748779,0.009761699684180305
9,3.32,0.14698795180722893,0.05632530120481928,0.008734939759036145
10,3.333,0.1344134413441344,0.0615061506150615,0.011101110111011102
11,3.42,0.14181286549707603,0.06754385964912281,0.011111111111111112
12,3.1060000000000003,0.14713457823567289,0.05795235028976174,0.010946555054732776
13,3.569,0.13028859624544692,0.05884001120762118,0.010647240123283833
14,3.167,0.17303441742974424,0.07546574044837386,0.01010419955794127
15,3.1,0.1787096774193548,0.08580645161290323,0.00935483870967742
16,3.526,0.14407260351673284,0.06693136698808849,0.010209869540555873
17,3.451,0.1257606490872211,0.06056215589684149,0.00927267458707621
18,3.457,0.13798090830199594,0.06479606595313857,0.008678044547295342
19,3.63,0.11377410468319558,0.05426997245179064,0.01019283746556474
20,3.556,0.11895388076490439,0.05736782902137232,0.01124859392575928
21,3.66,0.11338797814207649,0.0453551912568306,0.010382513661202184
22,3.611,0.1060648019939075,0.044309055663251176,0.009692605926336195
23,3.509,0.12282701624394414,0.05984611000284981,0.00883442576232545
24,3.643,0.11913258303595937,0.05105682130112547,0.010979961570134505
25,3.705,0.11309041835357624,0.046153846153846156,0.009176788124156546
26,3.681,0.10241782124422712,0.04482477587612062,0.010323281716924749
27,3.513,0.13065755764304016,0.05436948477085113,0.00967833760318816
28,3.644,0.11031833150384193,0.049670691547749724,0.009604829857299671
29,3.367,0.12563112563112563,0.07098307098307098,0.009801009801009801
30,3.217,0.12620453838980417,0.055020205160087036,0.01056885296860429
31,3.689,0.10599078341013825,0.05313092979127135,0.009758742206560044
32,3.649,0.0992052617155385,0.04905453548917511,0.00822143052891203
33,3.564,0.12177328843995511,0.051627384960718295,0.008978675645342313
34,3.077,0.1449463763405915,0.058823529411764705,0.008774780630484239
35,3.489,0.12811693895098883,0.055030094582975066,0.009171682430495844
36,3.491,0.12460613004869664,0.05585792036665712,0.00916642795760527
37,3.307,0.1312367704868461,0.0592682189295434,0.009676443906864228
38,3.41,0.12463343108504397,0.05131964809384164,0.007917888563049855
39,3.262,0.14132434089515636,0.06989576946658492,0.009196811771919068
40,3.209,0.16017450919289497,0.05827360548457463,0.010595200997195388
41,3.4,0.11676470588235295,0.05264705882352941,0.009705882352941177
42,3.184,0.14384422110552764,0.06187185929648241,0.008793969849246231
43,3.574,0.1054840514829323,0.044767767207610526,0.010352546166759935
44,3.2260000000000004,0.13670179789212644,0.05889646621202727,0.010539367637941723
45,3.27,0.1437308868501529,0.06238532110091743,0.009480122324159021
46,3.195,0.12895148669796558,0.06228482003129891,0.009076682316118937
47,3.462,0.12073945696129404,0.04592720970537262,0.010687463893703062
48,3.452,0.12862108922363846,0.04982618771726535,0.01100811123986095
49,3.355,0.15469448584202683,0.06587183308494785,0.009836065573770493
50,3.281,0.157269125266687,0.07131971959768363,0.008838768668088998
51,2.756,0.16219158200290276,0.06494920174165457,0.013788098693759071
52,3.486,0.1310958118187034,0.055938037865748705,0.010900745840504876
53,3.3760000000000003,0.11907582938388625,0.044431279620853074,0.010367298578199052
54,3.372,0.11328588374851721,0.0438908659549229,0.011269276393831554
55,3.428,0.12485414235705951,0.05571761960326721,0.011376896149358226
56,3.097,0.17726832418469485,0.07749434937035841,0.012269938650306749
57,3.474,0.13701784686240642,0.05354058721934371,0.008923431203223949
58,3.165,0.1712480252764613,0.07646129541864138,0.010110584518167457
59,3.256,0.1421990171990172,0.06326781326781326,0.010749385749385752
60,3.511,0.13187126174878952,0.05924238108800911,0.011107946454001708
61,3.511,0.12418114497294218,0.055539732270008545,0.010538308174309315
62,3.3480000000000003,0.1427718040621266,0.05973715651135006,0.010752688172043012
63,3.355,0.15350223546944858,0.06289120715350223,0.011028315946348734
64,3.469,0.12366676275583742,0.051311617180743736,0.00807149034303834
65,3.427,0.10767435074409104,0.04902246863145609,0.009629413481178874
66,3.392,0.1129127358490566,0.04658018867924529,0.009728773584905662
67,3.483,0.11024978466838932,0.050244042492104506,0.00918748205569911
68,3.425,0.12817518248175183,0.05781021897810219,0.009343065693430658
69,3.304,0.12651331719128328,0.06265133171912833,0.010290556900726394
70,3.462,0.13229347198151356,0.059503177354130556,0.010976314269208549
71,3.237,0.15786221810318196,0.07476058078467716,0.009885696632684585
72,3.374,0.13159454653230587,0.06194427978660343,0.010373443983402491
73,3.375,0.11614814814814815,0.05333333333333333,0.008592592592592593
74,3.516,0.1083617747440273,0.04664391353811148,0.009670079635949944
75,3.362,0.13355145746579417,0.05889351576442594,0.008625817965496729
