pca_clusters4,Median length- mm,Median YOLKSAC BREADTH (mm),Median Yolk sac area(mm2),Median Eye area(mm2),Median YOLKSAC BREADTH Ratio,Median Yolk sac area Ratio,Median Eye area Ratio,principal component 1,principal component 2
0,3.305538461538461,0.45799999999999996,0.20096153846153844,0.032615384615384636,0.13865206883596107,0.060833816226242475,0.00986597069181598,0.07612847187733428,0.0006372626042224623
1,3.075,0.48172727272727267,0.20854545454545456,0.031636363636363636,0.15662943141050054,0.0677534966959879,0.010327165574462572,0.3074682933946193,0.0016675580882839192
2,3.463115384615385,0.4383076923076923,0.19196153846153846,0.03392307692307694,0.12654675490681025,0.05541601831254254,0.009795201708228587,-0.08200241791950047,-0.00019225098743689265
3,3.6288461538461543,0.40730769230769237,0.1814615384615385,0.03615384615384616,0.11229860777043846,0.05003298553296025,0.009966157455248925,-0.2484175869418839,-0.002301033923657567
