,Compound,Median length- mm,Median YOLKSAC BREADTH (mm),Median Yolk sac area(mm2),Median Eye area(mm2),Median YOLKSAC BREADTH Ratio,Median Yolk sac area Ratio,Median Eye area Ratio,principal component 1,principal component 2,pca_3_clusters_ward,pca_3_clusters_complete,pca_3_clusters_average
24,C41,3.6430000000000002,0.434,0.18600000000000005,0.04,0.11913258303595935,0.05105682130112547,0.010979961570134505,-0.2619958639204165,0.00541724258581069,0,1,1
25,C42,3.705,0.419,0.171,0.034,0.11309041835357625,0.04615384615384616,0.009176788124156546,-0.3243896028421318,0.002764040811032863,0,1,1
18,C29,3.457,0.47700000000000004,0.22399999999999998,0.03,0.13798090830199594,0.06479606595313858,0.008678044547295342,-0.07479834526042224,0.013611309892292292,0,1,1
72,C156,3.3739999999999997,0.444,0.209,0.035,0.13159454653230587,0.061944279786603426,0.010373443983402493,0.007395117787245028,0.00011542794632676469,1,2,2
73,C157,3.375,0.392,0.18,0.028999999999999998,0.11614814814814815,0.05333333333333333,0.008592592592592594,0.005015447921108161,-0.017392572317332645,1,2,2
58,C123,3.165,0.542,0.242,0.032,0.1712480252764613,0.07646129541864137,0.010110584518167456,0.21907072443189776,0.02562190523062764,1,2,2
63,C138,3.355,0.515,0.21100000000000002,0.037000000000000005,0.15350223546944858,0.06289120715350223,0.011028315946348734,0.02796978849437138,0.01880803605574745,1,2,2
71,C153,3.237,0.511,0.242,0.032,0.15786221810318196,0.07476058078467716,0.009885696632684585,0.1462640884843294,0.018475628288977277,1,2,2
69,C151,3.304,0.418,0.207,0.034,0.12651331719128328,0.06265133171912833,0.010290556900726394,0.07682544893647757,-0.009679479061728636,1,2,2
62,C133,3.3480000000000003,0.478,0.2,0.036000000000000004,0.1427718040621266,0.05973715651135006,0.010752688172043013,0.03407017646861896,0.007234889721833795,1,2,2
59,C126,3.2560000000000002,0.46299999999999997,0.20600000000000002,0.035,0.1421990171990172,0.06326781326781326,0.010749385749385752,0.12584419466299746,0.0009737431734522159,1,2,2
0,Control Fish water,3.3169999999999997,0.48700000000000004,0.18600000000000005,0.028999999999999998,0.14681941513415736,0.0560747663551402,0.008742839915586373,0.06516245565130066,0.006905247771828199,1,2,2
37,C65,3.307,0.434,0.196,0.032,0.1312367704868461,0.0592682189295434,0.009676443906864228,0.0740825681823071,-0.00660598152157719,1,2,2
53,C114,3.3760000000000003,0.402,0.15,0.035,0.11907582938388625,0.044431279620853074,0.010367298578199052,0.003978000267812202,-0.018424833837448477,1,2,2
3,C3,3.327,0.419,0.198,0.031,0.12593928464081755,0.05951307484220018,0.009317703636910129,0.05376314613628751,-0.009714941771178372,1,2,2
6,C7,3.2460000000000004,0.545,0.214,0.028999999999999998,0.16789895255699322,0.06592729513247073,0.008934072704867528,0.1377714890949045,0.024519149446609247,1,2,2
7,C8,3.353,0.47100000000000003,0.209,0.034,0.14047121980316132,0.062332239785266925,0.010140172979421413,0.02899137305679715,0.006644788076741892,1,2,2
9,C11,3.32,0.488,0.187,0.028999999999999998,0.14698795180722893,0.056325301204819274,0.008734939759036145,0.06219136022385463,0.0073990767710852105,1,2,2
10,C12,3.333,0.44799999999999995,0.205,0.037000000000000005,0.1344134413441344,0.0615061506150615,0.011101110111011102,0.04846243319291944,-0.0007465697565759252,1,2,2
14,C24,3.167,0.5479999999999999,0.239,0.032,0.17303441742974426,0.07546574044837387,0.01010419955794127,0.21717910808306598,0.026972403920613,1,2,2
29,C51,3.367,0.423,0.239,0.033,0.12563112563112566,0.07098307098307098,0.0098010098010098,0.014196710297633783,-0.0020068634119825594,1,2,2
54,C115,3.372,0.382,0.14800000000000002,0.038,0.1132858837485172,0.0438908659549229,0.011269276393831554,0.007526609370061394,-0.024195727809060034,1,2,2
30,C52,3.217,0.406,0.177,0.034,0.12620453838980414,0.055020205160087036,0.01056885296860429,0.1633122981294319,-0.02001937782830681,1,2,2
40,C70,3.2089999999999996,0.514,0.187,0.034,0.16017450919289494,0.05827360548457462,0.010595200997195388,0.17387114026999467,0.011405100852579739,1,2,2
42,C77,3.1839999999999997,0.45799999999999996,0.19699999999999998,0.027999999999999997,0.14384422110552764,0.06187185929648241,0.008793969849246231,0.19769847415720906,-0.0037928892718404133,1,2,2
44,C89,3.2260000000000004,0.441,0.19,0.034,0.13670179789212644,0.05889646621202727,0.010539367637941723,0.15522155609053875,-0.008195094797039695,1,2,2
45,C92,3.27,0.47,0.204,0.031,0.1437308868501529,0.06238532110091743,0.00948012232415902,0.11197308210636886,0.003084283535842628,1,2,2
46,C98,3.195,0.41200000000000003,0.19899999999999998,0.028999999999999998,0.12895148669796558,0.06228482003129891,0.009076682316118936,0.185653395452204,-0.01620395997937085,1,2,2
49,C106,3.355,0.519,0.221,0.033,0.15469448584202686,0.06587183308494785,0.009836065573770493,0.028141927835423464,0.021141482862015993,1,2,2
50,C109,3.281,0.516,0.23399999999999999,0.028999999999999998,0.157269125266687,0.07131971959768363,0.008838768668088998,0.1022568420964421,0.01994637386027895,1,2,2
39,C69,3.262,0.461,0.228,0.03,0.14132434089515636,0.06989576946658492,0.00919681177191907,0.11998843620079658,0.003451100621280887,1,2,2
75,C159,3.362,0.449,0.198,0.028999999999999998,0.13355145746579414,0.05889351576442594,0.00862581796549673,0.0194111824004657,-0.00035009918321515413,1,2,2
