,Compound,Median length- mm,Median YOLKSAC BREADTH (mm),Median Yolk sac area(mm2),Median Eye area(mm2),standard_clusters3
123,C122,3.4739999999999998,0.47600000000000003,0.18600000000000003,0.031,0
124,C123,3.165,0.542,0.242,0.032,0
125,C124,0.0,0.0,0.0,0.0,1
126,C125,0.0,0.0,0.0,0.0,1
127,C126,3.2560000000000002,0.46299999999999997,0.20600000000000002,0.035,0
128,C127,3.511,0.46299999999999997,0.20800000000000002,0.039,0
129,C128,0.0,0.0,0.0,0.0,1
130,C129,3.511,0.436,0.195,0.037000000000000005,0
131,C130,0.0,0.0,0.0,0.0,1
132,C131,0.0,0.0,0.0,0.0,1
133,C132,0.0,0.0,0.0,0.0,1
134,C133,3.3480000000000003,0.478,0.2,0.036000000000000004,0
135,C134,0.0,0.0,0.0,0.0,1
136,C135,0.0,0.0,0.0,0.0,1
137,C136,0.0,0.0,0.0,0.0,1
138,C137,0.0,0.0,0.0,0.0,1
139,C138,3.355,0.515,0.21100000000000002,0.037000000000000005,0
140,C139,0.0,0.0,0.0,0.0,1
141,C140,3.469,0.429,0.17800000000000002,0.027999999999999997,0
142,C141,3.427,0.369,0.168,0.033,0
143,C142,3.392,0.38299999999999995,0.158,0.033,0
144,C143,3.483,0.384,0.175,0.032,0
145,C144,0.0,0.0,0.0,0.0,1
146,C145,0.0,0.0,0.0,0.0,1
147,C146,0.0,0.0,0.0,0.0,1
148,C147,0.0,0.0,0.0,0.0,1
149,C148,3.425,0.439,0.198,0.032,0
150,C149,0.0,0.0,0.0,0.0,1
151,C150,0.0,0.0,0.0,0.0,1
152,C151,3.304,0.418,0.207,0.034,0
153,C152,3.4619999999999997,0.45799999999999996,0.20600000000000002,0.038,0
154,C153,3.237,0.511,0.242,0.032,0
155,C154,0.0,0.0,0.0,0.0,1
156,C155,0.0,0.0,0.0,0.0,1
157,C156,3.3739999999999997,0.444,0.209,0.035,0
158,C157,3.375,0.392,0.18,0.028999999999999998,0
159,C158,3.516,0.381,0.16399999999999998,0.034,0
160,C159,3.362,0.449,0.198,0.028999999999999998,0
