,Compound,Median length- mm,Median YOLKSAC BREADTH (mm),Median Yolk sac area(mm2),Median Eye area(mm2),principal component 1,principal component 2,pca_clusters
12,C11,3.32,0.488,0.187,0.028999999999999998,0.8781423263876057,0.982009748231489,1
41,C40,3.509,0.431,0.21,0.031,0.013197061012599978,0.15252150618689878,1
15,C14,3.1060000000000003,0.457,0.18,0.034,0.45582474856101884,0.6743909194675932,1
143,C142,3.392,0.38299999999999995,0.158,0.033,-1.7291568497071206,1.12396962211088,2
116,C115,3.372,0.382,0.14800000000000002,0.038,-2.333700847501231,0.2298179298827713,2
144,C143,3.483,0.384,0.175,0.032,-1.4659295913372352,0.8678636380656288,2
142,C141,3.427,0.369,0.168,0.033,-1.7674336844687237,0.9848450619256206,2
115,C114,3.3760000000000003,0.402,0.15,0.035,-1.7876038473881943,0.7136253800104115,2
58,C57,3.5639999999999996,0.434,0.184,0.032,-0.7965744884286566,0.20214537623873108,2
39,C38,3.611,0.38299999999999995,0.16,0.035,-2.4180448756867152,0.1684337232495706,2
57,C56,3.6489999999999996,0.36200000000000004,0.179,0.03,-1.9376899801737386,1.031899258075983,2
159,C158,3.516,0.381,0.16399999999999998,0.034,-2.018252006623423,0.5487844830002915,2
55,C54,3.6889999999999996,0.391,0.196,0.036000000000000004,-1.7324922583139137,-0.8499387127830651,2
50,C49,3.6439999999999997,0.402,0.18100000000000002,0.035,-1.7472748150284554,-0.3681210114946991,2
73,C72,3.4,0.397,0.179,0.033,-1.0592956170091827,0.6769439907232585,2
44,C43,3.681,0.377,0.165,0.038,-2.8039774261192028,-0.685835291450778,2
79,C78,3.574,0.377,0.16,0.037000000000000005,-2.56217773884325,-0.1501628372842827,2
43,C42,3.705,0.419,0.171,0.034,-1.8405861746094132,-0.2404035287969499,2
38,C37,3.66,0.415,0.166,0.038,-2.2185854853781932,-0.9173501562086349,2
31,C30,3.63,0.413,0.19699999999999998,0.037000000000000005,-1.3410946757757172,-1.1081967539557458,2
105,C104,3.4619999999999997,0.418,0.159,0.037000000000000005,-1.7457309399247916,-0.17020872305384346,2
106,C105,3.452,0.444,0.172,0.038,-1.1415880771814533,-0.7542002779972643,2
42,C41,3.6430000000000002,0.434,0.18600000000000003,0.04,-1.6018809298713093,-1.7693696527883618,2
25,C24,3.167,0.5479999999999999,0.239,0.032,3.086259757946984,-0.5810588716915969,3
26,C25,3.1,0.5539999999999999,0.266,0.028999999999999998,4.2329074767201735,-0.24068683975994748,3
124,C123,3.165,0.542,0.242,0.032,3.0836468351395365,-0.5828564883176138,3
107,C106,3.355,0.519,0.221,0.033,1.6928754768014753,-0.7306473833169197,3
154,C153,3.237,0.511,0.242,0.032,2.481501132959386,-0.5277775469935747,3
122,C121,3.097,0.5489999999999999,0.24,0.038,2.823234707877945,-1.7739688403595713,3
110,C109,3.281,0.516,0.23399999999999999,0.028999999999999998,2.482487408211499,0.1298403117430418,3
8,C7,3.2460000000000004,0.545,0.214,0.028999999999999998,2.4803887945832237,0.3241041181179301,3
