,Compound,Median length- mm,Median YOLKSAC BREADTH (mm),Median Yolk sac area(mm2),Median Eye area(mm2),Median YOLKSAC BREADTH Ratio,Median Yolk sac area Ratio,Median Eye area Ratio,principal component 1,principal component 2,pca_clusters2
0,Control Fish water,3.317,0.487,0.18600000000000005,0.029,0.14681941513415736,0.0560747663551402,0.008742839915586373,0.06516245565130033,0.0069052477718282166,0
39,C69,3.262,0.461,0.228,0.03,0.14132434089515636,0.06989576946658492,0.009196811771919068,0.11998843620079656,0.0034511006212808873,0
40,C70,3.209,0.514,0.187,0.034,0.16017450919289497,0.05827360548457463,0.010595200997195388,0.17387114026999423,0.0114051008525798,0
42,C77,3.184,0.458,0.197,0.028,0.14384422110552764,0.06187185929648241,0.008793969849246231,0.19769847415720862,-0.0037928892718403734,0
44,C89,3.2260000000000004,0.441,0.19,0.034,0.13670179789212644,0.05889646621202727,0.010539367637941723,0.15522155609053873,-0.00819509479703969,0
45,C92,3.27,0.47,0.204,0.031,0.1437308868501529,0.06238532110091743,0.009480122324159021,0.11197308210636887,0.0030842835358426282,0
46,C98,3.195,0.412,0.199,0.029,0.12895148669796558,0.06228482003129891,0.009076682316118937,0.185653395452204,-0.016203959979370842,0
49,C106,3.355,0.519,0.221,0.033,0.15469448584202683,0.06587183308494785,0.009836065573770493,0.028141927835423464,0.021141482862015955,0
34,C59,3.077,0.446,0.181,0.027000000000000003,0.1449463763405915,0.058823529411764705,0.008774780630484239,0.3043585942488847,-0.012497291812629312,0
50,C109,3.281,0.516,0.234,0.029,0.157269125266687,0.07131971959768363,0.008838768668088998,0.1022568420964421,0.01994637386027894,0
56,C121,3.097,0.5489999999999999,0.24,0.038,0.17726832418469485,0.07749434937035841,0.012269938650306749,0.2873328366348898,0.026150729923251858,0
58,C123,3.165,0.542,0.242,0.032,0.1712480252764613,0.07646129541864138,0.010110584518167457,0.21907072443189776,0.025621905230627635,0
59,C126,3.256,0.463,0.206,0.035,0.1421990171990172,0.06326781326781326,0.010749385749385752,0.1258441946629979,0.0009737431734521813,0
62,C133,3.3480000000000003,0.478,0.2,0.036000000000000004,0.1427718040621266,0.05973715651135006,0.010752688172043012,0.03407017646861896,0.007234889721833793,0
63,C138,3.355,0.515,0.211,0.037000000000000005,0.15350223546944858,0.06289120715350223,0.011028315946348734,0.02796978849437138,0.01880803605574744,0
69,C151,3.304,0.418,0.207,0.034,0.12651331719128328,0.06265133171912833,0.010290556900726394,0.07682544893647757,-0.009679479061728636,0
71,C153,3.237,0.511,0.242,0.032,0.15786221810318196,0.07476058078467716,0.009885696632684585,0.1462640884843294,0.018475628288977274,0
51,C110,2.756,0.447,0.179,0.038,0.16219158200290276,0.06494920174165457,0.013788098693759071,0.6258072471508777,-0.01957140033414107,0
30,C52,3.217,0.406,0.177,0.034,0.12620453838980417,0.055020205160087036,0.01056885296860429,0.1633122981294319,-0.020019377828306772,0
37,C65,3.307,0.434,0.196,0.032,0.1312367704868461,0.0592682189295434,0.009676443906864228,0.0740825681823071,-0.0066059815215771854,0
10,C12,3.333,0.448,0.205,0.037000000000000005,0.1344134413441344,0.0615061506150615,0.011101110111011102,0.04846243319291944,-0.0007465697565759247,0
9,C11,3.32,0.488,0.187,0.029,0.14698795180722893,0.05632530120481928,0.008734939759036145,0.06219136022385462,0.007399076771085211,0
4,C4,2.975,0.423,0.187,0.032,0.14218487394957982,0.06285714285714286,0.010756302521008404,0.40595785306920534,-0.02130711423121156,0
3,C3,3.327,0.419,0.198,0.031,0.12593928464081755,0.059513074842200184,0.009317703636910129,0.05376314613628751,-0.009714941771178367,0
7,C8,3.353,0.471,0.209,0.034,0.14047121980316132,0.06233223978526692,0.010140172979421413,0.028991373056797148,0.006644788076741888,0
5,C5,3.083,0.439,0.196,0.024,0.14239377229970807,0.0635744404800519,0.007784625364904314,0.2983262718645652,-0.01232695216580691,0
15,C25,3.1,0.5539999999999999,0.266,0.029,0.1787096774193548,0.08580645161290323,0.00935483870967742,0.28468462132586364,0.0311932642765203,0
2,C1,3.115,0.436,0.187,0.034,0.13996789727126804,0.06003210272873194,0.010914927768860353,0.2661491229739046,-0.013493424864070739,0
12,C14,3.1060000000000003,0.457,0.18,0.034,0.14713457823567289,0.05795235028976174,0.010946555054732776,0.2755863734004482,-0.008606091700189682,0
14,C24,3.167,0.5479999999999999,0.239,0.032,0.17303441742974424,0.07546574044837386,0.01010419955794127,0.21717910808306598,0.026972403920612963,0
6,C7,3.2460000000000004,0.545,0.214,0.029,0.16789895255699322,0.06592729513247073,0.008934072704867528,0.13777148909490447,0.02451914944660924,0
54,C115,3.372,0.382,0.14800000000000002,0.038,0.11328588374851721,0.0438908659549229,0.011269276393831554,0.007526609370061397,-0.024195727809060007,1
55,C119,3.428,0.428,0.191,0.039,0.12485414235705951,0.05571761960326721,0.011376896149358226,-0.04710976527617895,-0.004353073563226847,1
53,C114,3.3760000000000003,0.402,0.15,0.035,0.11907582938388625,0.044431279620853074,0.010367298578199052,0.003978000267812202,-0.01842483383744847,1
52,C113,3.486,0.457,0.195,0.038,0.1310958118187034,0.055938037865748705,0.010900745840504876,-0.10446618228271998,0.0059371778350147415,1
57,C122,3.474,0.476,0.18600000000000005,0.031,0.13701784686240642,0.05354058721934371,0.008923431203223949,-0.09214089424996914,0.009328281049695117,1
8,C10,3.483,0.482,0.214,0.034,0.13838644846396783,0.06144128624748779,0.009761699684180305,-0.10078348965396638,0.014607264539469252,1
20,C34,3.556,0.423,0.204,0.04,0.11895388076490439,0.05736782902137232,0.01124859392575928,-0.17509681561934826,0.00107885448423585,1
64,C140,3.469,0.429,0.17800000000000002,0.028,0.12366676275583742,0.051311617180743736,0.00807149034303834,-0.08820028575684728,-0.00406468593679121,1
65,C141,3.427,0.369,0.168,0.033,0.10767435074409104,0.04902246863145609,0.009629413481178874,-0.04756732597363858,-0.022775305157860734,1
66,C142,3.392,0.383,0.158,0.033,0.1129127358490566,0.04658018867924529,0.009728773584905662,-0.012362616133492047,-0.021826821253781523,1
67,C143,3.483,0.384,0.175,0.032,0.11024978466838932,0.050244042492104506,0.00918748205569911,-0.10316971066472366,-0.015530965198139408,1
68,C148,3.425,0.439,0.198,0.032,0.12817518248175183,0.05781021897810219,0.009343065693430658,-0.04381751461287284,-0.0007085435591213752,1
70,C152,3.462,0.458,0.206,0.038,0.13229347198151356,0.059503177354130556,0.010976314269208549,-0.08034995215614744,0.006636449850189267,1
1,"Control 
1% DMSO",3.394,0.451,0.182,0.034,0.1328815556865056,0.05362404242781379,0.010017678255745434,-0.012689089260917451,-0.0006614048478817184,1
72,C156,3.374,0.444,0.209,0.035,0.13159454653230587,0.06194427978660343,0.010373443983402491,0.007395117787244584,0.00011542794632680276,1
73,C157,3.375,0.392,0.18,0.029,0.11614814814814815,0.05333333333333333,0.008592592592592593,0.005015447921108161,-0.017392572317332638,1
61,C129,3.511,0.436,0.195,0.037000000000000005,0.12418114497294218,0.055539732270008545,0.010538308174309315,-0.12990716823662024,0.0014893447126116885,1
60,C127,3.511,0.463,0.208,0.039,0.13187126174878952,0.05924238108800911,0.011107946454001708,-0.12923597212711735,0.009998026309824933,1
47,C104,3.462,0.418,0.159,0.037000000000000005,0.12073945696129404,0.04592720970537262,0.010687463893703062,-0.08158918767009495,-0.009528530477800412,1
19,C30,3.63,0.413,0.197,0.037000000000000005,0.11377410468319558,0.05426997245179064,0.01019283746556474,-0.2493370796898173,0.0009106972955770683,1
