NaN,NaN,NaN
0.25257,1.1491,1.2413
0.014682,0.015517,0.013406
0.015037,0.01541,0.013442
0.015435,0.014985,0.013914
0.016102,0.014887,0.013732
0.015264,0.014944,0.013854
0.015166,0.014645,0.014018
0.015198,0.01451,0.014361
0.015041,0.01403,0.014424
0.014203,0.01413,0.01439
0.020723,0.014922,0.013735
0.13514,0.014907,0.012982
0.13764,0.014607,0.012863
0.23524,0.014317,0.012121
0.3676,0.01501,0.013837
0.15434,0.014737,0.012335
0.12956,0.014489,0.012599
0.16929,0.014284,0.012884
0.13283,0.014281,0.012574
0.11312,0.014644,0.012414
0.085411,0.014482,0.01256
0.068245,0.014511,0.012213
0.061703,0.014147,0.012312
0.053698,0.014996,0.012127
0.045506,0.014826,0.012054
0.041815,0.014416,0.011801
0.037916,0.01459,0.011596
0.034581,0.014117,0.011849
0.030991,0.013964,0.011728
0.028534,0.014859,0.011561
0.025837,0.01496,0.011489
0.024292,0.014604,0.011442
0.02189,0.014272,0.011509
0.023554,0.014869,0.012231
0.022229,0.014896,0.015203
0.023508,0.014811,0.01928
0.021144,0.014019,0.011397
0.019665,0.013973,0.011375
0.017686,0.014896,0.011344
0.016322,0.014566,0.01145
0.015545,0.014393,0.01129
0.015079,0.014245,0.011111
0.01477,0.015321,0.01103
0.014902,0.014471,0.01128
0.014272,0.014362,0.011436
0.014082,0.014327,0.011371
0.01418,0.014065,0.011014
0.013949,0.015133,0.010908
0.012877,0.01488,0.010993
0.012194,0.01487,0.010919
0.011981,0.014278,0.011355
0.011701,0.015322,0.011366
0.01163,0.015719,0.011218
0.011058,0.01467,0.011044
0.010807,0.014508,0.011075
0.010407,0.014213,0.011268
0.010405,0.01523,0.011013
0.01012,0.015412,0.010966
0.0099503,0.014434,0.011118
0.009725,0.014475,0.011305
0.0097364,0.015109,0.011436
0.0096151,0.014687,0.011572
0.0094997,0.015113,0.011589
0.0093593,0.01505,0.011622
0.010984,0.014638,0.011053
0.01225,0.015042,0.011395
0.012937,0.014792,0.012101
0.014181,0.014926,0.018155
0.015168,0.014544,0.015879
