NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.18703,1.0049,0.93282,1.0205,0.96737,0.94687,1.1777
0.03032,0.021104,0.023773,0.027198,0.028735,0.022033,0.024545
0.030409,0.020736,0.024762,0.027473,0.029989,0.022334,0.023668
0.03135,0.020653,0.024411,0.026769,0.030623,0.022037,0.023644
0.032245,0.020982,0.024544,0.026286,0.031294,0.021598,0.025243
0.029916,0.021252,0.025189,0.026041,0.029128,0.02154,0.025137
0.030474,0.021308,0.023647,0.02647,0.028789,0.021879,0.024789
0.032718,0.19597,0.025085,0.025526,0.02995,0.021317,0.024241
0.031936,0.59457,0.024579,0.026806,0.029631,0.021101,0.023487
0.033102,0.53911,0.025578,0.028619,0.029614,0.021415,0.025394
0.032814,0.36133,0.023999,0.026585,0.029461,0.020586,0.025312
0.03294,0.21283,0.024429,0.026435,0.029235,0.020994,0.025063
0.031224,0.23896,0.024308,0.025803,0.029558,0.021129,0.022815
0.032564,0.21464,0.024144,0.026348,0.029755,0.020901,0.023245
0.031102,0.17482,0.024973,0.026718,0.028522,0.020682,0.025019
0.030802,0.16392,0.023577,0.026716,0.029065,0.020579,0.025584
0.031302,0.14852,0.024332,0.02789,0.02785,0.020706,0.025655
0.031606,0.10691,0.024384,0.026603,0.027908,0.020906,0.023042
0.031791,0.079757,0.025389,0.025903,0.028437,0.020567,0.023627
0.030064,0.070171,0.024222,0.025762,0.029639,0.020668,0.024069
0.031011,0.062128,0.024891,0.026845,0.029181,0.020872,0.024959
0.032269,0.057592,0.024411,0.026276,0.027772,0.020348,0.025256
0.031364,0.053289,0.024454,0.027414,0.027739,0.020391,0.024833
0.030529,0.04735,0.024701,0.027436,0.028761,0.020582,0.023121
0.030357,0.043981,0.023649,0.026614,0.02868,0.020372,0.023814
0.031331,0.040739,0.025152,0.026063,0.028259,0.020142,0.025438
0.031298,0.039156,0.024728,0.026587,0.028063,0.020372,0.025527
0.032828,0.038212,0.02564,0.026319,0.028215,0.020243,0.024379
0.03006,0.037065,0.023805,0.026292,0.028288,0.019871,0.023805
0.030566,0.034071,0.025089,0.026389,0.027201,0.020073,0.022964
0.031242,0.032564,0.024835,0.027198,0.027327,0.02028,0.025547
0.031132,0.031088,0.025256,0.026886,0.029397,0.019976,0.024686
0.031917,0.030861,0.024695,0.025746,0.028001,0.02007,0.024116
0.030237,0.031414,0.024021,0.02524,0.028002,0.019947,0.023407
0.030845,0.030514,0.024744,0.026255,0.027507,0.019725,0.023003
0.031466,0.029397,0.024401,0.027313,0.028158,0.019435,0.025564
0.03151,0.0285,0.025684,0.026254,0.028219,0.031882,0.025576
0.030194,0.027299,0.024405,0.027764,0.027531,0.17715,0.02516
0.030444,0.026998,0.025514,0.02712,0.027244,0.23752,0.023541
