NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.31152,1.1422,1.07,1.3512,1.2645,1.0841,1.3208,1.2966,1.0042,1.326,1.1237,1.1168
0.041673,0.03962,0.029828,0.053816,0.038766,0.04105,0.030442,0.040116,0.037886,0.034513,0.038207,0.033458
0.042808,0.038912,0.02934,0.049081,0.040751,0.043126,0.030139,0.039694,0.038015,0.034455,0.037969,0.033809
0.041212,0.040091,0.029191,0.047215,0.040537,0.041673,0.030177,0.038697,0.039285,0.035109,0.037002,0.032966
0.043324,0.039737,0.02895,0.044423,0.039142,0.040797,0.03032,0.038916,0.038443,0.035451,0.035688,0.033474
0.043062,0.039594,0.027817,0.042689,0.037234,0.041727,0.030161,0.040075,0.039608,0.036559,0.035516,0.033494
0.041077,0.04051,0.028136,0.039759,0.034232,0.041472,0.030331,0.040896,0.038862,0.035137,0.037134,0.034807
0.041719,0.04101,0.027664,0.041353,0.032829,0.041108,0.030256,0.0411,0.036808,0.036832,0.036896,0.033275
0.040853,0.0401,0.027672,0.041945,0.032964,0.042186,0.030334,0.040997,0.037826,0.038408,0.039956,0.03328
0.040946,0.039827,0.029758,0.040769,0.032909,0.042192,0.030404,0.040118,0.038154,0.037901,0.038177,0.033017
0.041629,0.039886,0.030067,0.038796,0.031904,0.042615,0.03011,0.039935,0.036574,0.037275,0.03761,0.033434
0.040734,0.040775,0.029575,0.038269,0.03292,0.040877,0.030482,0.039531,0.037499,0.03781,0.036051,0.032878
0.043632,0.039302,0.029525,0.037977,0.034597,0.041291,0.030277,0.039304,0.04095,0.036978,0.035778,0.032164
0.043162,0.040072,0.029367,0.03755,0.035172,0.043192,0.03059,0.039624,0.039458,0.036188,0.037143,0.033066
0.040264,0.041056,0.029133,0.03662,0.033169,0.041492,0.030386,0.040896,0.038542,0.035902,0.038697,0.034158
0.040516,0.041477,0.02852,0.037489,0.038089,0.040791,0.030079,0.041689,0.035685,0.03561,0.037529,0.033488
0.040983,0.040094,0.028121,0.038483,0.037688,0.042919,0.030315,0.041578,0.036567,0.035423,0.039437,0.034037
